Serovar	Group	O Antigen	Serogroup	H Phase 1	H Phase 2	Serogroup Formula	Antigenic Formula	Subspecies
Istanbul	O:8 (C2-C3)	8	C2-C3	z10	e,n,x	C2-C3:z10:e,n,x	8:z10:e,n,x	I
Ituri	O:4 (B)	1,4,12	B	z10	1,5	B:z10:1,5	1,4,12:z10:1,5	I
Jerusalem	O:7 (C1)	6,7,14	C1	z10	l,w	C1:z10:l,w	6,7,14:z10:l,w	I
Kristianstad	O:3,10 (E1)	3,10	E	z10	e,n,z15	E:z10:e,n,z15	3,10:z10:e,n,z15	I
Kumasi	O:30 (N)	30	N	z10	e,n,z15	N:z10:e,n,z15	30:z10:e,n,z15	I
Landala	O:41 (S)	41	S	z10	1,6	S:z10:1,6	41:z10:1,6	I
Laredo	O:6,14 (H)	1,6,14,25	H	z10	1,6	H:z10:1,6	1,6,14,25:z10:1,6	I
Leer	O:18 (K)	18	K	z10	1,5	K:z10:1,5	18:z10:1,5	I
Leipzig	O:41 (S)	41	S	z10	1,5	S:z10:1,5	41:z10:1,5	I
Lexington	O:3,10 (E1)	3,{10}{15}{15,34}	E	z10	1,5	E:z10:1,5	3,{10}{15}{15,34}:z10:1,5	I
Libreville	O:28 (M)	28	M	z10	1,6	M:z10:1,6	28:z10:1,6	I
Ligna	O:35 (O)	35	O	z10	z6	O:z10:z6	35:z10:z6	I
Lisboa	O:16 (l)	16	I	z10	1,6	I:z10:1,6	16:z10:1,6	I
Lishabi	O:9,46 (D2)	9,46	D	z10	1,7	D:z10:1,7	9,46:z10:1,7	I
Llobregat	O:44 (V)	1,44	V	z10	e,n,x	V:z10:e,n,x	1,44:z10:e,n,x	I
Loenga	O:42 (T)	1,42	T	z10	z6	T:z10:z6	1,42:z10:z6	I
Louisiana	O:9,46 (D2)	9,46	D	z10	z6	D:z10:z6	9,46:z10:z6	I
Luckenwalde	O:28 (M)	28	M	z10	e,n,z15	M:z10:e,n,z15	28:z10:e,n,z15	I
Mahina	O:9,46 (D2)	9,46	D	z10	e,n,z15	D:z10:e,n,z15	9,46:z10:e,n,z15	I
Malaysia	O:28 (M)	28	M	z10	1,7	M:z10:1,7	28:z10:1,7	I
Mapo	O:8 (C2-C3)	6,8	C2-C3	z10	1,5	C2-C3:z10:1,5	6,8:z10:1,5	I
Mbandaka	O:7 (C1)	6,7,14	C1	z10	e,n,z15	C1:z10:e,n,z15	6,7,14:z10:e,n,z15	I
Menden	O:7 (C1)	6,7	C1	z10	1,2	C1:z10:1,2	6,7:z10:1,2	I
Molade	O:8 (C2-C3)	8,20	C2-C3	z10	z6	C2-C3:z10:z6	8,20:z10:z6	I
Moroto	O:28 (M)	28	M	z10	l,w	M:z10:l,w	28:z10:l,w	I
Mura	O:4 (B)	1,4,12	B	z10	l,w	B:z10:l,w	1,4,12:z10:l,w	I
Namoda	O:47 (X)	47	X	z10	e,n,z15	X:z10:e,n,z15	47:z10:e,n,z15	I
Nessa	O:6,14 (H)	1,6,14,25	H	z10	1,2	H:z10:1,2	1,6,14,25:z10:1,2	I
Neunkirchen	O:38 (P)	38	P	z10	-	P:z10:-	38:z10:-	I
Neunkirchen	O:38 (P)	38	P	z10	1,5	P:z10:1,5	38:z10:1,5	I
Ngili	O:7 (C1)	6,7	C1	z10	1,7	C1:z10:1,7	6,7:z10:1,7	I
Okerara	O:3,10 (E1)	3,10	E	z10	1,2	E:z10:1,2	3,10:z10:1,2	I
Omuna	O:7 (C1)	6,7	C1	z10	z35	C1:z10:z35	6,7:z10:z35	I
Paris	O:8 (C2-C3)	8,20	C2-C3	z10	1,5	C2-C3:z10:1,5	8,20:z10:1,5	I
Podiensis	O:3,10 (E1)	3,10	E	z10	e,n,x	E:z10:e,n,x	3,10:z10:e,n,x	I
Portland	O:9 (D1)	9,12	D	z10	1,5	D:z10:1,5	9,12:z10:1,5	I
Redba	O:7 (C1)	6,7	C1	z10	z6	C1:z10:z6	6,7:z10:z6	I
Redlands	O:16 (l)	16	I	z10	e,n,z15	I:z10:e,n,z15	16:z10:e,n,z15	I
Remiremont	O:8 (C2-C3)	8,20	C2-C3	z10	l,w	C2-C3:z10:l,w	8,20:z10:l,w	I
Rogy	O:28 (M)	28	M	z10	1,2	M:z10:1,2	28:z10:1,2	I
Roodepoort	O:13 (G)	1,13,22	G	z10	1,5	G:z10:1,5	1,13,22:z10:1,5	I
Ruanda	O:9 (D1)	9,12	D	z10	e,n,z15	D:z10:e,n,z15	9,12:z10:e,n,z15	I
Sada	O:30 (N)	30	N	z10	1,2	N:z10:1,2	30:z10:1,2	I
Sapele	O:13 (G)	13,23	G	z10	e,n,z15	G:z10:e,n,z15	13,23:z10:e,n,z15	I
Senneville	O:30 (N)	30	N	z10	1,5	N:z10:1,5	30:z10:1,5	I
Straengnaes	O:11 (F)	11	F	z10	1,5	F:z10:1,5	11:z10:1,5	I
Telhashomer	O:11 (F)	11	F	z10	e,n,x	F:z10:e,n,x	11:z10:e,n,x	I
Tokoin	O:4 (B)	4,12	B	z10	e,n,z15	B:z10:e,n,z15	4,12:z10:e,n,z15	I
Treguier	O:9 (D1)	9,12	D	z10	z6	D:z10:z6	9,12:z10:z6	I
Trotha	O:40 (R) 	40	R	z10	z6	R:z10:z6	40:z10:z6	I
Tudu	O:4 (B)	4,12	B	z10	1,6	B:z10:1,6	4,12:z10:1,6	I
Umbilo	O:28 (M)	28	M	z10	e,n,x	M:z10:e,n,x	28:z10:e,n,x	I
Vellore	O:4 (B)	1,4,12,27	B	z10	z35	B:z10:z35	1,4,12,27:z10:z35	I
VI 1,6,14,25:z10:1,(2),7	O:6,14 (H)	1,6,14,25	H	z10	1,(2),7	H:z10:1,(2),7	1,6,14,25:z10:1,(2),7	VI
VI 48:z10:1,5	O:48 (Y)1	48	Y	z10	1,5	Y:z10:1,5	48:z10:1,5	VI
Wentworth	O:11 (F)	11	F	z10	1,2	F:z10:1,2	11:z10:1,2	I
Wippra	O:8 (C2-C3)	6,8	C2-C3	z10	z6	C2-C3:z10:z6	6,8:z10:z6	I
Yenne	O:1,3,19 (E4)	1,3,19	E	z10	1,5	E:z10:1,5	1,3,19:z10:1,5	I
Zerifin	O:8 (C2-C3)	6,8	C2-C3	z10	1,2	C2-C3:z10:1,2	6,8:z10:1,2	I
Agoueve	O:13 (G)	13,22	G	z29	-	G:z29:-	13,22:z29:-	I
Aragua	O:30 (N)	30	N	z29	-	N:z29:-	30:z29:-	I
Brancaster	O:4 (B)	1,4,12,27	B	z29	-	B:z29:-	1,4,12,27:z29:-	I
Cubana	O:13 (G)	1,13,23	G	z29	-	G:z29:-	1,13,23:z29:-	I
Djama	O:42 (T)	1,42	T	z29	-	T:z29:-	1,42:z29:-	I
Djama	O:42 (T)	1,42	T	z29	1,5	T:z29:1,5	1,42:z29:1,5	I
Djermaia	O:28 (M)	28	M	z29	-	M:z29:-	28:z29:-	I
Ekpoui	O:47 (X)	47	X	z29	-	X:z29:-	47:z29:-	I
Everleigh	O:3,10 (E1)	3,10	E	z29	e,n,x	E:z29:e,n,x	3,10:z29:e,n,x	I
II 1,4,12:z29:e,n,x	O:4 (B)	1,4,12	B	z29	e,n,x	B:z29:e,n,x	1,4,12:z29:e,n,x	II
II 6,7:z29:-	O:7 (C1)	6,7	C1	z29	-	C1:z29:-	6,7:z29:-	II
II 6,7:z29:z42	O:7 (C1)	6,7	C1	z29	z42	C1:z29:z42	6,7:z29:z42	II
II 6,8:z29:1,5	O:8 (C2-C3)	6,8	C2-C3	z29	1,5	C2-C3:z29:1,5	6,8:z29:1,5	II
II 6,8:z29:e,n,x	O:8 (C2-C3)	6,8	C2-C3	z29	e,n,x	C2-C3:z29:e,n,x	6,8:z29:e,n,x	II
II 6,8:z29:e,n,x	O:8 (C2-C3)	6,8	C2-C3	z29	e,n,x	C2-C3:z29:e,n,x	6,8:z29:e,n,x	II
II 9,12:z29:1,5	O:9 (D1)	9,12	D	z29	1,5	D:z29:1,5	9,12:z29:1,5	II
II 1,9,12:z29:e,n,x	O:9 (D1)	1,9,12	D	z29	e,n,x	D:z29:e,n,x	1,9,12:z29:e,n,x	II
II 3,10:z29:-	O:3,10 (E1)	3,10	E	z29	-	E:z29:-	3,10:z29:-	II
II 3,10:z29:e,n,x	O:3,10 (E1)	3,10	E	z29	e,n,x	E:z29:e,n,x	3,10:z29:e,n,x	II
II 13,22:z29:1,5	O:13 (G)	13,22	G	z29	1,5	G:z29:1,5	13,22:z29:1,5	II
II 1,13,23:z29:1,5	O:13 (G)	1,13,23	G	z29	1,5	G:z29:1,5	1,13,23:z29:1,5	II
II 13,22:z29:e,n,x	O:13 (G)	13,22	G	z29	e,n,x	G:z29:e,n,x	13,22:z29:e,n,x	II
II 1,13,23:z29:e,n,x	O:13 (G)	1,13,23	G	z29	e,n,x	G:z29:e,n,x	1,13,23:z29:e,n,x	II
II 16:z29:1,5	O:16 (l)	16	I	z29	1,5	I:z29:1,5	16:z29:1,5	II
II 16:z29:e,n,x	O:16 (l)	16	I	z29	e,n,x	I:z29:e,n,x	16:z29:e,n,x	II
II 28:z29:1,5	O:28 (M)	28	M	z29	1,5	M:z29:1,5	28:z29:1,5	II
II 28:z29:e,n,x	O:28 (M)	28	M	z29	e,n,x	M:z29:e,n,x	28:z29:e,n,x	II
II 51:z29:e,n,x,z15	O:51	51	O-51	z29	e,n,x,z15	O-51:z29:e,n,x,z15	51:z29:e,n,x,z15	II
II 57:z29:z42	O:57	57	O-57	z29	z42	O-57:z29:z42	57:z29:z42	II
II 60:z29:e,n,x	O:60	60	O-60	z29	e,n,x	O-60:z29:e,n,x	60:z29:e,n,x	II
II 35:z29:e,n,x	O:35 (O)	35	O	z29	e,n,x	O:z29:e,n,x	35:z29:e,n,x	II
II 42:z29:-	O:42 (T)	42	T	z29	-	T:z29:-	42:z29:-	II
II 43:z29:e,n,x	O:43 (U)	43	U	z29	e,n,x	U:z29:e,n,x	43:z29:e,n,x	II
II 43:z29:z42	O:43 (U)	43	U	z29	z42	U:z29:z42	43:z29:z42	II
II 44:z29:e,n,x	O:44 (V)	44	V	z29	e,n,x	V:z29:e,n,x	44:z29:e,n,x	II
II 45:z29:1,5	O:45 (W)	45	W	z29	1,5	W:z29:1,5	45:z29:1,5	II
II 45:z29:e,n,x	O:45 (W)	45	W	z29	e,n,x	W:z29:e,n,x	45:z29:e,n,x	II
II 45:z29:z42	O:45 (W)	45	W	z29	z42	W:z29:z42	45:z29:z42	II
II 47:z29:e,n,x,z15	O:47 (X)	47	X	z29	e,n,x,z15	X:z29:e,n,x,z15	47:z29:e,n,x,z15	II
II 48:z29:-	O:48 (Y)1	48	Y	z29	-	Y:z29:-	48:z29:-	II
IIIa 17:z29:-	O:17 (J)	17	J	z29	-	J:z29:-	17:z29:-	IIIa
IIIa 21:z29:-	O:21 (L)	21	L	z29	-	L:z29:-	21:z29:-	IIIa
IIIa 53:z29:-	O:53	53	O-53	z29	-	O-53:z29:-	53:z29:-	IIIa
IIIa 56:z29:-	O:56	56	O-56	z29	-	O-56:z29:-	56:z29:-	IIIa
IIIa 59:z29:-	O:59	59	O-59	z29	-	O-59:z29:-	59:z29:-	IIIa
IIIa 62:z29:-	O:62	62	O-62	z29	-	O-62:z29:-	62:z29:-	IIIa
IIIa 35:z29:-	O:35 (O)	35	O	z29	-	O:z29:-	35:z29:-	IIIa
IIIa 40:z29:-	O:40 (R) 	40	R	z29	-	R:z29:-	40:z29:-	IIIa
IIIa 41:z29:-	O:41 (S)	41	S	z29	-	S:z29:-	41:z29:-	IIIa
IIIa 43:z29:-	O:43 (U)	43	U	z29	-	U:z29:-	43:z29:-	IIIa
IIIa 45:z29:-	O:45 (W)	45	W	z29	-	W:z29:-	45:z29:-	IIIa
IIIa 47:z29:-	O:47 (X)	47	X	z29	-	X:z29:-	47:z29:-	IIIa
IIIa 48:z29:-	O:48 (Y)1	48	Y	z29	-	Y:z29:-	48:z29:-	IIIa
IIIa 50:z29:-	O:50 (Z)	50	Z	z29	-	Z:z29:-	50:z29:-	IIIa
IV 17:z29:-	O:17 (J)	17	J	z29	-	J:z29:-	17:z29:-	IV
IV 41:z29:-	O:41 (S)	41	S	z29	-	S:z29:-	41:z29:-	IV
IV 43:z29:-	O:43 (U)	43	U	z29	-	U:z29:-	43:z29:-	IV
IV 44:z29:-	O:44 (V)	44	V	z29	-	V:z29:-	44:z29:-	IV
IV 48:z29:-	O:48 (Y)1	48	Y	z29	-	Y:z29:-	48:z29:-	IV
Ivorycoast	O:50 (Z)	50	Z	z29	-	Z:z29:-	50:z29:-	I
Jedburgh	O:3,10 (E1)	3,{10}{15}	E	z29	-	E:z29:-	3,{10}{15}:z29:-	I
Jodhpur	O:45 (W)	45	W	z29	-	W:z29:-	45:z29:-	I
Kandla	O:17 (J)	17	J	z29	-	J:z29:-	17:z29:-	I
Llandoff	O:1,3,19 (E4)	1,3,19	E	z29	-	E:z29:-	1,3,19:z29:-	I
Llandoff	O:1,3,19 (E4)	1,3,19	E	z29	z6	E:z29:z6	1,3,19:z29:z6	I
Lodz	O:41 (S)	41	S	z29	-	S:z29:-	41:z29:-	I
Makiling	O:43 (U)	43	U	z29	-	U:z29:-	43:z29:-	I
Mundubbera	O:54	54	O-54	z29	-	O-54:z29:-	54:z29:-	I
Omifisan	O:40 (R) 	1,40	R	z29	-	R:z29:-	1,40:z29:-	I
Ouakam	O:9,46 (D2)	9,46	D	z29	-	D:z29:-	9,46:z29:-	I
Saloniki	O:16 (l)	16	I	z29	-	I:z29:-	16:z29:-	I
Tamale	O:8 (C2-C3)	8,20	C2-C3	z29	-	C2-C3:z29:-	8,20:z29:-	I
Tamale	O:8 (C2-C3)	8,20	C2-C3	z29	e,n,z15	C2-C3:z29:e,n,z15	8,20:z29:e,n,z15	I
Tennessee	O:7 (C1)	6,7,14	C1	z29	-	C1:z29:-	6,7,14:z29:-	I
Tennessee	O:7 (C1)	6,7,14	C1	z29	1,2	C1:z29:1,2,7	6,7,14:z29:1,2,7	I
Uno	O:8 (C2-C3)	6,8	C2-C3	z29	-	C2-C3:z29:-	6,8:z29:-	I
Uno	O:8 (C2-C3)	6,8	C2-C3	z29	e,n,z15	C2-C3:z29:e,n,z15	6,8:z29:e,n,z15	I
Widemarsh	O:35 (O)	35	O	z29	-	O:z29:-	35:z29:-	I
Zinder	O:44 (V)	44	V	z29	-	V:z29:-	44:z29:-	I
Aachen	O:17 (J)	17	J	z35	1,6	J:z35:1,6	17:z35:1,6	I
Ahepe	O:43 (U)	43	U	z35	1,6	U:z35:1,6	43:z35:1,6	I
Ahoutoue	O:41 (S)	41	S	z35	1,6	S:z35:1,6	41:z35:1,6	I
Angers	O:8 (C2-C3)	8,20	C2-C3	z35	z6	C2-C3:z35:z6	8,20:z35:z6	I
Anna	O:13 (G)	13,23	G	z35	e,n,z15	G:z35:e,n,z15	13,23:z35:e,n,z15	I
Babili	O:28 (M)	28	M	z35	1,7	M:z35:1,7	28:z35:1,7	I
Basingstoke	O:9,46 (D2)	9,46	D	z35	e,n,z15	D:z35:e,n,z15	9,46:z35:e,n,z15	I
Bingerville	O:47 (X)	47	X	z35	e,n,z15	X:z35:e,n,z15	47:z35:e,n,z15	I
Cairina	O:3,10 (E1)	3,10	E	z35	z6	E:z35:z6	3,10:z35:z6	I
Carpentras	O:38 (P)	38	P	z35	e,n,z15	P:z35:e,n,z15	38:z35:e,n,z15	I
Catumagos	O:1,3,19 (E4)	1,3,19	E	z35	1,5	E:z35:1,5	1,3,19:z35:1,5	I
Dakota	O:16 (l)	16	I	z35	e,n,z15	I:z35:e,n,z15	16:z35:e,n,z15	I
Gambaga	O:21 (L)	21	L	z35	e,n,z15	L:z35:e,n,z15	21:z35:e,n,z15	I
Hennekamp	O:42 (T)	42	T	z35	e,n,z15	T:z35:e,n,z15	42:z35:e,n,z15	I
Hillegersberg	O:9,46 (D2)	9,46	D	z35	1,5	D:z35:1,5	9,46:z35:1,5	I
II 3,10:z35:e,n,x,z15	O:3,10 (E1)	3,10	E	z35	e,n,x,z15	E:z35:e,n,x,z15	3,10:z35:e,n,x,z15	II
II 16:z35:e,n,x	O:16 (l)	16	I	z35	e,n,x	I:z35:e,n,x	16:z35:e,n,x	II
II 1,40:z35:e,n,x,z15	O:40 (R) 	1,40	R	z35	e,n,x,z15	R:z35:e,n,x,z15	1,40:z35:e,n,x,z15	II
IIIb 48:z35:z52	O:48 (Y)1	48	Y	z35	z52	Y:z35:z52	48:z35:z52	IIIb
Kahla	O:42 (T)	1,42	T	z35	1,6	T:z35:1,6	1,42:z35:1,6	I
Kokoli	O:30 (N)	30	N	z35	1,6	N:z35:1,6	30:z35:1,6	I
Kolda	O:8 (C2-C3)	8,20	C2-C3	z35	1,2	C2-C3:z35:1,2	8,20:z35:1,2	I
Konolfingen	O:28 (M)	28	M	z35	1,6	M:z35:1,6	28:z35:1,6	I
Lattenkamp	O:45 (W)	45	W	z35	1,5	W:z35:1,5	45:z35:1,5	I
Mampong	O:13 (G)	13,22	G	z35	1,6	G:z35:1,6	13,22:z35:1,6	I
Nimes	O:13 (G)	13,22	G	z35	e,n,z15	G:z35:e,n,z15	13,22:z35:e,n,z15	I
Palime	O:7 (C1)	6,7	C1	z35	e,n,z15	C1:z35:e,n,z15	6,7:z35:e,n,z15	I
Pasing	O:4 (B)	4,12	B	z35	1,5	B:z35:1,5	4,12:z35:1,5	I
Penarth	O:9 (D1)	9,12	D	z35	z6	D:z35:z6	9,12:z35:z6	I
Picpus	O:13 (G)	13,23	G	z35	1,6	G:z35:1,6	13,23:z35:1,6	I
Ratchaburi	O:3,10 (E1)	3,10	E	z35	1,6	E:z35:1,6	3,10:z35:1,6	I
Santander	O:28 (M)	28	M	z35	e,n,z15	M:z35:e,n,z15	28:z35:e,n,z15	I
Shannon	O:3,10 (E1)	3,10	E	z35	l,w	E:z35:l,w	3,10:z35:l,w	I
Sloterdijk	O:4 (B)	1,4,12,27	B	z35	z6	B:z35:z6	1,4,12,27:z35:z6	I
Tafo	O:4 (B)	1,4,12,27	B	z35	1,7	B:z35:1,7	1,4,12,27:z35:1,7	I
Tema	O:42 (T)	1,42	T	z35	z6	T:z35:z6	1,42:z35:z6	I
Tienba	O:7 (C1)	6,7	C1	z35	1,6	C1:z35:1,6	6,7:z35:1,6	I
Trier	O:16 (l)	16	I	z35	1,6	I:z35:1,6	16:z35:1,6	I
Trimdon	O:9,46 (D2)	9,46	D	z35	z6	D:z35:z6	9,46:z35:z6	I
V 61:z35:-	O:61	61	O-61	z35	-	O-61:z35:-	61:z35:-	V
V 66:z35:-	O:66	66	O-66	z35	-	O-66:z35:-	66:z35:-	V
V 1,40:z35:-	O:40 (R) 	1,40	R	z35	-	R:z35:-	1,40:z35:-	V
V 48:z35:-	O:48 (Y)1	48	Y	z35	-	Y:z35:-	48:z35:-	V
Wuiti	O:30 (N)	30	N	z35	e,n,z15	N:z35:e,n,z15	30:z35:e,n,z15	I
Yaounde	O:4 (B)	1,4,12,27	B	z35	e,n,z15	B:z35:e,n,z15	1,4,12,27:z35:e,n,z15	I
Yarm	O:8 (C2-C3)	6,8	C2-C3	z35	1,2	C2-C3:z35:1,2	6,8:z35:1,2	I
Yekepa	O:40 (R) 	1,40	R	z35	e,n,z15	R:z35:e,n,z15	1,40:z35:e,n,z15	I
Yombesali	O:47 (X)	47	X	z35	z6	X:z35:z6	47:z35:z6	I
Zongo	O:3,10 (E1)	3,10	E	z35	1,7	E:z35:1,7	3,10:z35:1,7	I
Balcones	O:45 (W)	45	W	z36	-	W:z36:-	45:z36:-	I
II 6,7:z36:z42	O:7 (C1)	6,7	C1	z36	z42	C1:z36:z42	6,7:z36:z42	II
II 6,14:z36:-	O:6,14 (H)	6,14	H	z36	-	H:z36:-	6,14:z36:-	II
II 16:z36:e,n,z15	O:16 (l)	16	I	z36	e,n,z15	I:z36:e,n,z15	16:z36:e,n,z15	II
II 18:z36:-	O:18 (K)	18	K	z36	-	K:z36:-	18:z36:-	II
IIIa 17:z36:-	O:17 (J)	17	J	z36	-	J:z36:-	17:z36:-	IIIa
IIIa 21:z36:-	O:21 (L)	21	L	z36	-	L:z36:-	21:z36:-	IIIa
IIIa 59:z36:-	O:59	59	O-59	z36	-	O-59:z36:-	59:z36:-	IIIa
IIIa 62:z36:-	O:62	62	O-62	z36	-	O-62:z36:-	62:z36:-	IIIa
IIIa 63:z36:-	O:63	63	O-63	z36	-	O-63:z36:-	63:z36:-	IIIa
IIIa 35:z36:-	O:35 (O)	35	O	z36	-	O:z36:-	35:z36:-	IIIa
IIIa 40:z36:-	O:40 (R) 	40	R	z36	-	R:z36:-	40:z36:-	IIIa
IIIa 41:z36:-	O:41 (S)	41	S	z36	-	S:z36:-	41:z36:-	IIIa
IIIa 43:z36:-	O:43 (U)	43	U	z36	-	U:z36:-	43:z36:-	IIIa
IIIa 45:z36:-	O:45 (W)	45	W	z36	-	W:z36:-	45:z36:-	IIIa
IIIa 48:z36:-	O:48 (Y)1	48	Y	z36	-	Y:z36:-	48:z36:-	IIIa
IIIa 50:z36:-	O:50 (Z)	50	Z	z36	-	Z:z36:-	50:z36:-	IIIa
IV 6,7:z36:-	O:7 (C1)	6,7	C1	z36	-	C1:z36:-	6,7:z36:-	IV
IV 16:z36:-	O:16 (l)	16	I	z36	-	I:z36:-	16:z36:-	IV
IV 17:z36:-	O:17 (J)	17	J	z36	-	J:z36:-	17:z36:-	IV
IV 21:z36:-	O:21 (L)	21	L	z36	-	L:z36:-	21:z36:-	IV
IV 41:z36:-	O:41 (S)	41	S	z36	-	S:z36:-	41:z36:-	IV
IV 42:z36:-	O:42 (T)	42	T	z36	-	T:z36:-	42:z36:-	IV
IV 47:z36:-	O:47 (X)	47	X	z36	-	X:z36:-	47:z36:-	IV
Macallen	O:3,10 (E1)	3,10	E	z36	-	E:z36:-	3,10:z36:-	I
Potosi	O:6,14 (H)	6,14	H	z36	1,5	H:z36:1,5	6,14:z36:1,5	I
Tampico	O:7 (C1)	6,7	C1	z36	e,n,z15	C1:z36:e,n,z15	6,7:z36:e,n,z15	I
Tejas	O:4 (B)	4,12	B	z36	-	B:z36:-	4,12:z36:-	I
VI 59:z36:-	O:59	59	O-59	z36	-	O-59:z36:-	59:z36:-	VI
Weslaco	O:42 (T)	42	T	z36	-	T:z36:-	42:z36:-	I
IV 44:z36,[z38]:-	O:44 (V)	44	V	z36,[z38]	-	V:z36,[z38]:-	44:z36,[z38]:-	IV
IV 48:z36,[z38]:-	O:48 (Y)1	48	Y	z36,[z38]	-	Y:z36,[z38]:-	48:z36,[z38]:-	IV
IV 18:z36,z38:-	O:18 (K)	18	K	z36,z38	-	K:z36,z38:-	18:z36,z38:-	IV
IV 1,53:z36,z38:-	O:53	1,53	O-53	z36,z38	-	O-53:z36,z38:-	1,53:z36,z38:-	IV
IV 43:z36,z38:-	O:43 (U)	43	U	z36,z38	-	U:z36,z38:-	43:z36,z38:-	IV
IV 45:z36,z38:-	O:45 (W)	45	W	z36,z38	-	W:z36,z38:-	45:z36,z38:-	IV
Aderike	O:28 (M)	28	M	z38	e,n,z15	M:z38:e,n,z15	28:z38:e,n,z15	I
Ago	O:30 (N)	30	N	z38	-	N:z38:-	30:z38:-	I
Albertslund	O:3,10 (E1)	3,10	E	z38	1,6	E:z38:1,6	3,10:z38:1,6	I
Alexanderplatz	O:47 (X)	47	X	z38	-	X:z38:-	47:z38:-	I
Apeyeme	O:8 (C2-C3)	8,20	C2-C3	z38	-	C2-C3:z38:-	8,20:z38:-	I
Bolombo	O:3,10 (E1)	3,10	E	z38	-	E:z38:-	3,10:z38:-	I
Bolombo	O:3,10 (E1)	3,10	E	z38	z6	E:z38:z6	3,10:z38:z6	I
Elomrane	O:9 (D1)	1,9,12	D	z38	-	D:z38:-	1,9,12:z38:-	I
Fanti	O:13 (G)	13,23	G	z38	-	G:z38:-	13,23:z38:-	I
Fresno	O:9,46 (D2)	9,46	D	z38	-	D:z38:-	9,46:z38:-	I
Haga	O:35 (O)	35	O	z38	-	O:z38:-	35:z38:-	I
II 3,10:z38:z42	O:3,10 (E1)	3,10	E	z38	z42	E:z38:z42	3,10:z38:z42	II
Irigny	O:43 (U)	43	U	z38	-	U:z38:-	43:z38:-	I
Klouto	O:38 (P)	38	P	z38	-	P:z38:-	38:z38:-	I
Koketime	O:44 (V)	44	V	z38	-	V:z38:-	44:z38:-	I
Leiden	O:13 (G)	13,22	G	z38	-	G:z38:-	13,22:z38:-	I
Lene	O:11 (F)	11	F	z38	-	F:z38:-	11:z38:-	I
Lille	O:7 (C1)	6,7,14	C1	z38	-	C1:z38:-	6,7,14:z38:-	I
Naware	O:16 (l)	16	I	z38	-	I:z38:-	16:z38:-	I
Ochiogu	O:1,3,19 (E4)	1,3,19	E	z38	-	E:z38:-	1,3,19:z38:-	I
Ochiogu	O:1,3,19 (E4)	1,3,19	E	z38	e,n,z15	E:z38:e,n,z15	1,3,19:z38:e,n,z15	I
Offa	O:41 (S)	41	S	z38	-	S:z38:-	41:z38:-	I
Rumford	O:7 (C1)	6,7	C1	z38	1,2	C1:z38:1,2	6,7:z38:1,2	I
Sandaga	O:3,10 (E1)	3,10	E	z38	1,2	E:z38:1,2	3,10:z38:1,2	I
Sara	O:6,14 (H)	1,6,14,25	H	z38	-	H:z38:-	1,6,14,25:z38:-	I
Sara	O:6,14 (H)	1,6,14,25	H	z38	e,n,x	H:z38:e,n,x	1,6,14,25:z38:e,n,x	I
Sinthia	O:18 (K)	18	K	z38	-	K:z38:-	18:z38:-	I
Vogan	O:42 (T)	1,42	T	z38	z6	T:z38:z6	1,42:z38:z6	I
Wilhelmsburg	O:4 (B)	1,4,[5],12,[27]	B	z38	-	B:z38:-	1,4,[5],12,[27]:z38:-	I
Wilhelmsburg	O:4 (B)	1,4,[5],12,[27]	B	z38	e,n,z15	B:z38:e,n,z15	1,4,[5],12,[27]:z38:e,n,z15	I
Grancanaria	O:16 (l)	16	I	z39	-	I:z39:-	16:z39:-	I
Grancanaria	O:16 (l)	16	I	z39	1,6	I:z39:1,6	16:z39:1,6	I
II 1,4,12,[27]:z39:1,[5],7	O:4 (B)	1,4,12,[27]	B	z39	1,[5],7	B:z39:1,[5],7	1,4,12,[27]:z39:1,[5],7	II
II 6,7:z39:1,5,7	O:7 (C1)	6,7	C1	z39	1,5,7	C1:z39:1,5,7	6,7:z39:1,5,7	II
II 1,9,12:z39:1,7	O:9 (D1)	1,9,12	D	z39	1,7	D:z39:1,7	1,9,12:z39:1,7	II
II 9,46:z39:1,7	O:9,46 (D2)	9,46	D	z39	1,7	D:z39:1,7	9,46:z39:1,7	II
II 3,10:z39:1,[5],7	O:3,10 (E1)	3,10	E	z39	1,[5],7	E:z39:1,[5],7	3,10:z39:1,[5],7	II
II 1,13,23:z39:1,5,7	O:13 (G)	1,13,23	G	z39	1,5,7	G:z39:1,5,7	1,13,23:z39:1,5,7	II
II 13,22:z39:1,7	O:13 (G)	13,22	G	z39	1,7	G:z39:1,7	13,22:z39:1,7	II
II 30:z39:1,7	O:30 (N)	30	N	z39	1,7	N:z39:1,7	30:z39:1,7	II
II 52:z39:1,5,7	O:52	52	O-52	z39	1,5,7	O-52:z39:1,5,7	52:z39:1,5,7	II
II 57:z39:e,n,x,z15	O:57	57	O-57	z39	e,n,x,z15	O-57:z39:e,n,x,z15	57:z39:e,n,x,z15	II
II 58:z39:e,n,x,z15	O:58	58	O-58	z39	e,n,x,z15	O-58:z39:e,n,x,z15	58:z39:e,n,x,z15	II
II 1,40:z39:1,5	O:40 (R) 	1,40	R	z39	1,5	R:z39:1,5	1,40:z39:1,5	II
II 1,40:z39:1,6	O:40 (R) 	1,40	R	z39	1,6	R:z39:1,6	1,40:z39:1,6	II
