Serovar	Group	O Antigen	Serogroup	H Phase 1	H Phase 2	Serogroup Formula	Antigenic Formula	Subspecies
Haelsingborg	O:7 (C1)	6,7	C1	m,p,t,u	-	C1:m,p,t,u:-	6,7:m,p,t,[u]:-	I
Apapa	O:45 (W)	45	W	m,t	-	W:m,t:-	45:m,t:-	I
Bama	O:17 (J)	17	J	m,t	-	J:m,t:-	17:m,t:-	I
Banana	O:4 (B)	1,4,[5],12	B	m,t	-	B:m,t:-	1,4,[5],12:m,t:-	I
Banana	O:4 (B)	1,4,[5],12	B	m,t	1,5	B:m,t:1,5	1,4,[5],12:m,t:1,5	I
Bassa	O:8 (C2-C3)	6,8	C2-C3	m,t	-	C2-C3:m,t:-	6,8:m,t:-	I
Cannstatt	O:1,3,19 (E4)	1,3,19	E	m,t	-	E:m,t:-	1,3,19:m,t:-	I
Dietrichsdorf	O:39 (Q)	39	Q	m,t	-	Q:m,t:-	39:m,t:-	I
Djinten	O:51	51	O-51	m,t	-	O-51:m,t:-	51:m,t:-	I
II 6,7:m,t:-	O:7 (C1)	6,7	C1	m,t	-	C1:m,t:-	6,7:m,t:-	II
II 6,8:m,t:1,5	O:8 (C2-C3)	6,8	C2-C3	m,t	1,5	C2-C3:m,t:1,5	6,8:m,t:1,5	II
II 6,8:m,t:e,n,x	O:8 (C2-C3)	6,8	C2-C3	m,t	e,n,x	C2-C3:m,t:e,n,x	6,8:m,t:e,n,x	II
II 1,9,12:m,t:1,5	O:9 (D1)	1,9,12	D	m,t	1,5	D:m,t:1,5	1,9,12:m,t:1,5	II
II 9,12:m,t:e,n,x	O:9 (D1)	9,12	D	m,t	e,n,x	D:m,t:e,n,x	9,12:m,t:e,n,x	II
II 9,46:m,t:e,n,x	O:9,46 (D2)	9,46	D	m,t	e,n,x	D:m,t:e,n,x	9,46:m,t:e,n,x	II
II 1,9,12:m,t:z39	O:9 (D1)	1,9,12	D	m,t	z39	D:m,t:z39	1,9,12:m,t:z39	II
II 3,10:m,t:1,5	O:3,10 (E1)	3,10	E	m,t	1,5	E:m,t:1,5	3,10:m,t:1,5	II
II 3,10:m,t:e,n,x	O:3,10 (E1)	3,10	E	m,t	e,n,x	E:m,t:e,n,x	3,10:m,t:e,n,x	II
II 11:m,t:e,n,x	O:11 (F)	11	F	m,t	e,n,x	F:m,t:e,n,x	11:m,t:e,n,x	II
II 1,13,23:m,t:1,5	O:13 (G)	1,13,23	G	m,t	1,5	G:m,t:1,5	1,13,23:m,t:1,5	II
II 1,13,23:m,t:e,n,x	O:13 (G)	1,13,23	G	m,t	e,n,x	G:m,t:e,n,x	1,13,23:m,t:e,n,x	II
II 13,22:m,t:z42	O:13 (G)	13,22	G	m,t	z42	G:m,t:z42	13,22:m,t:z42	II
II 1,13,23:m,t:z42	O:13 (G)	1,13,23	G	m,t	z42	G:m,t:z42	1,13,23:m,t:z42	II
II 1,6,14:m,t:1,5	O:6,14 (H)	1,6,14	H	m,t	1,5	H:m,t:1,5	1,6,14:m,t:1,5	II
