Serovar	O	H1	H2
Lokstedt	E	l,z13,z28	1,2
Lomalinda	A/D	a	e,n,x
Lome	A/D	r	z6
Lomita	C1	e,h	1,5
Lomnava	I	l,w	e,n,z15
London	E	l,v	1,6
Lonestar	S	c	-
Losangeles	I	l,v	z6
Loubomo	B	z	1,6
Louga	N	b	1,2
Louisiana	A/D	z10	z6
Lovelace	G	l,v	1,5
Lowestoft	J	g,s,t	-
Lubumbashi	S	r	1,5
Luciana	F	a	e,n,z15
Luckenwalde	M	z10	e,n,z15
Luedinghausen	J	c	1,5
Luke	X	g,m	-
Lund	C2-C3	l,v	z6
Lutetia	-	r,i	l,z13,z28
Lyon	X	k	e,n,z15
Maastricht	F	z41	1,2
Macallen	E	z36	-
Macclesfield	A/D	g,m,s	1,2,7
Machaga	E	i	e,n,x
Madelia	H	y	1,7
Madiago	E	c	1,7
Madigan	V	c	1,5
Madison	L	d	z6
Madjorio	E	d	e,n,z15
Madras	B	m,t	e,n,z15
Magherafelt	C2-C3	i	l,w
Magumeri	H	e,h	1,6
Magwa	L	d	e,n,x
Mahina	A/D	z10	e,n,z15
Maiduguri	E	f,g,t	e,n,z15
Makiling	U	z29	-
Makiso	C1	l,z13,z28	z6
Malakal	I	e,h	1,2
Malaysia	M	z10	1,7
Malika	V	l,z28	1,5
Malmoe	C2-C3	i	1,7
Malstatt	I	b	z6
Mampeza	H	i	1,5
Mampong	G	z35	1,6
Mana	A/D	b	e,n,z15
Manchester	C2-C3	l,v	1,7
Mandera	I	l,z13	e,n,z15
Mango	P	k	1,5
Manhattan	C2-C3	d	1,5
Mannheim	F	k	l,w
Mapo	C2-C3	z10	1,5
Mara	Q	e,h	1,5
Maracaibo	F	l,v	1,5
Marburg	G	k	-
Maricopa	V	g,z51	-
Marienthal	E	k	e,n,z15
Maritzburg	V	i	e,n,z15
Marmande	C2-C3	z	1,7
Maron	E	d	z35
Maroua	F	z	1,7
Marsabit	-	l,w	1,5
Marseille	F	a	1,5
Marshall	G	a	l,z13,z28
Martonos	H	d	1,5
Maryland	-	b	1,7
Marylebone	A/D	k	1,2
Masembe	E	a	e,n,x
Maska	B	z41	e,n,z15
Massakory	O	r	l,w
Massenya	B	k	1,5
Massilia	F	a	1,6
Matadi	J	k	e,n,x
Mathura	A/D	i	e,n,z15
Matopeni	N	y	1,2
Mattenhof	J	b	e,n,x
Maumee	I	k	1,6
Mayday	A/D	y	z6
Mbandaka	C1	z10	e,n,z15
Mbao	U	i	1,2
Meekatharra	W	a	e,n,z15
Melaka	I	b	1,2,5
Melbourne	T	z	e,n,z15
Meleagridis	E	e,h	l,w
Memphis	K	k	1,5
Menden	C1	z10	1,2
Mendoza	A/D	l,v	1,2
Menston	C1	g,s,t	1,6
Menston	C1	g,s,t	-
Mesbit	X	m,t	e,n,z15
Meskin	-	e,h	1,2
Messina	N	d	1,5
Mgulani	P	i	1,2
Miami	A/D	a	1,5
Michigan	J	l,v	1,5
Middlesbrough	T	i	z6
Midway	H	d	1,7
Mikawasima	C1	y	e,n,z15
Millesi	R	l,v	1,2
Milwaukee	U	f,g,t	-
Mim	G	a	1,6
Minna	H	c	l,w
Minnesota	L	b	e,n,x
Mishmarhaemek	G	d	1,5
Mississippi	G	b	1,5
Missouri	F	g,s,t	-
Miyazaki	A/D	l,z13	1,7
Mjordan	N	i	e,n,z15
Mkamba	C1	l,v	1,6
Moabit	I	e,h	l,w
Mocamedes	M	d	e,n,x
Moero	M	b	1,5
Moers	F	m,t	-
Mokola	E	y	1,7
Molade	C2-C3	z10	z6
Molesey	-	b	1,5
Mono	B	l,w	1,5
Mons	B	d	l,w
Monschaui	O	m,t	-
Montaigu	A/D	b	1,2
Montevideo	-	g,m,s	-
Montevideo	C1	g,m,p,s	1,2,7
Montevideo	C1	g,m,p,s	-
Montreal	U	c	1,5
Morbihan	I	m,t	e,n,z15
Morehead	N	i	1,5
Morillons	M	m,t	1,6
Morningside	N	c	e,n,z15
Mornington	H	y	e,n,z15
Morocco	N	l,z13,z28	e,n,z15
Morotai	J	l,v	1,2
Moroto	M	z10	l,w
Moscow	A/D	g,q	-
Moualine	X	y	1,6
Moundou	-	l,z28	1,5
Mountmagnet	L	r	-
Mountpleasant	X	z	1,5
Moussoro	H	i	e,n,z15
Mowanjum	C2-C3	z	1,5
Mpouto	I	m,t	-
Muenchen	C2-C3	d	1,2
Muenster	E	e,h	1,5
Muguga	V	m,t	-
Mulhouse	A/D	z	1,2
Mundonobo	M	d	1,7
Mundubbera	-	z29	-
Mura	B	z10	l,w
Mygdal	B	z91	-
Myrria	G	i	1,7
Naestved	A/D	g,p,s	-
Nagoya	C2-C3	b	1,5
Nakuru	B	a	z6
Namibia	C1	c	e,n,x
Namoda	X	z10	e,n,z15
Namur	Q	z4,z23	-
Nanergou	C2-C3	g,s,t	-
Nanga	G	l,v	e,n,z15
Nantes	A/D	y	l,w
Napoli	A/D	l,z13	e,n,x
Narashino	C2-C3	a	e,n,x
Nashua	M	l,v	e,n,z15
Natal	A/D	z4,z24	-
Naware	I	z38	-
Nchanga	E	l,v	1,2
Ndjamena	H	b	1,2
Ndolo	A/D	d	1,5
Neftenbach	B	z	e,n,x
Nessa	H	z10	1,2
Nessziona	C1	l,z13	1,5
Neudorf	N	b	e,n,z15
Neukoelln	C1	l,z13,z28	e,n,z15
Neumuenster	B	k	1,6
Neunkirchen	P	z10	1,5
Neunkirchen	P	z10	-
Newholland	-	m,t	-
Newjersey	Q	k	e,n,x
Newlands	E	e,h	e,n,x
Newmexico	C1	g,z51	e,n,z15
Newport	C2-C3	e,h	1,2
Newport	C2-C3	e,h	1,5
Newrochelle	E	k	l,w
Newyork	G	g,s,t	-
Ngaparou	A/D	z4,z24	-
Ngili	C1	z10	1,7
Ngor	E	l,v	1,5
Niakhar	V	a	1,5
Niamey	J	d	l,w
Niarembe	V	a	l,w
Niederoderwitz	U	b	-
Nieukerk	C1	d	z6
Nigeria	C1	r	1,6
Nijmegen	N	y	e,n,z15
Nikolaifleet	I	g,m,s	-
Niloese	E	d	z6
Nima	M	y	1,5
Nimes	G	z35	e,n,z15
Nitra	A/D	g,m	-
Niumi	E	a	1,5
Njala	P	k	e,n,x
Nola	C1	e,h	1,7
Nordrhein	A/D	l,z13,z28	e,n,z15
Nordufer	C2-C3	a	1,7
Norton	C1	i	l,w
Norwich	C1	e,h	1,6
Nottingham	I	d	e,n,z15
Nowawes	R	z	z6
Noya	C2-C3	r	1,7
Nuatja	I	k	e,n,x
Nyanza	F	z	z6
Nyborg	E	e,h	1,7
Nyeko	I	a	1,7
Oakey	C1	m,t	z64
Oakland	C1	z	1,6,7
Obogu	C1	z4,z23	1,5
Ochiogu	E	z38	e,n,z15
Ochiogu	E	z38	-
Ochsenwerder	-	k	1,5
Ockenheim	N	l,z13,z28	1,6
Odienne	R	y	1,5
Odozi	N	k	e,n,x,z15
Oerlikon	Q	l,v	e,n,z15
Oesterbro	E	k	1,5
Offa	S	z38	-
Ogbete	U	z	1,5
Ohio	C1	b	l,w
Ohlstedt	E	y	e,n,x
Okatie	G	g,s,t	-
Okefoko	E	c	z6
Okerara	E	z10	1,2
Oldenburg	I	d	1,2
Olten	A/D	d	e,n,z15
Omifisan	R	z29	-
Omuna	C1	z10	z35
Ona	M	g,s,t	-
Onarimon	A/D	b	1,2
Onderstepoort	H	e,h	1,5
Onireke	E	d	1,7
Ontario	A/D	d	1,5
Oran	P	a	e,n,z15
Oranienburg	C1	g,m,t	-
Oranienburg	C1	m,t	z57
Oranienburg	C1	m,t	-
Orbe	T	b	1,6
Ord	-	a	e,n,z15
Ordonez	G	y	l,w
Orientalis	I	k	e,n,z15
Orion	E	y	1,5
Oritamerin	C1	i	1,5
Orlando	K	l,v	e,n,z15
Orleans	U	d	1,5
Os	A/D	a	1,6
Oskarshamn	M	y	1,2
Oslo	C1	a	e,n,x
Osnabrueck	F	l,z13,z28	e,n,x
Othmarschen	C1	g,m,t	-
Othmarschen	C1	m,t	z57
Othmarschen	C1	m,t	-
Ottawa	A/D	z41	1,5
Ouagadougou	E	i	1,5
Ouakam	A/D	z29	-
Oudwijk	G	b	1,6
Overchurch	R	l,w	1,2
Overchurch	R	l,w	-
Overschie	-	l,v	1,5
Overvecht	N	a	1,2
Oxford	E	a	1,7
Oyonnax	C1	y	1,6
Pakistan	C2-C3	l,v	1,2
Palamaner	V	d	z35
Palime	C1	z35	e,n,z15
Panama	A/D	l,v	1,5
Papuana	C1	r	e,n,z15
Parakou	T	l,w	z35
Paratyphi A	A	a	1,5
Paratyphi A	A	a	-
Paratyphi B	B	b	1,2
Paratyphi B var. Java	B	b	1,2
Paratyphi C	C1	c	1,5
Paris	C2-C3	z10	1,5
Parkroyal	E	l,v	1,7
Pasing	B	z35	1,5
Patience	M	d	e,n,z15
Penarth	A/D	z35	z6
Penilla	M	l,z13,z28	e,n,z15
Pensacola	A/D	m,t	1,2
Pensacola	A/D	m,t	-
Perth	P	y	e,n,x
Petahtikve	E	f,g,t	1,7
Phaliron	C2-C3	z	e,n,z15
Pharr	F	b	e,n,z15
Picpus	G	z35	1,6
Pietersburg	E	z69	1,7
Pisa	I	i	l,w
Planckendael	C1	z4,z23	1,6
Ploufragan	V	z4,z23	e,n,z15
Plumaugat	C1	g,s,q	-
Plymouth	A/D	d	z6
Poano	H	z	l,z13,z28
Podiensis	E	z10	e,n,x
Poeseldorf	-	i	z6
Poitiers	C1	z	1,5
Pomona	M	y	1,7
Pontypridd	K	g,m	-
Poona	G	z	1,6
Portanigra	C2-C3	d	1,7
Portland	A/D	z10	1,5
Potengi	K	z	-
Potosi	H	z36	1,5
Potsdam	C1	l,v	e,n,z15
Potto	A/D	i	z6
Powell	A/D	y	1,7
Praha	C2-C3	y	e,n,z15
Pramiso	E	c	1,7
Presov	C2-C3	b	e,n,z15
Preston	B	z	l,w
Pretoria	F	k	1,2
Putten	G	d	l,w
Quebec	V	c	e,n,z15
Quentin	A/D	d	1,6
Quincy	N	r	1,6
Quinhon	X	z44	-
Quiniela	C2-C3	c	e,n,z15
Ramatgan	N	k	1,5
Ramsey	M	l,w	1,6
Ratchaburi	E	z35	1,6
Raus	G	f,g	e,n,x
Rawash	K	c	e,n,x
Reading	B	e,h	1,5
Rechovot	C2-C3	e,h	z6
Redba	C1	z10	z6
Redhill	F	e,h	l,z13,z28
Redlands	I	z10	e,n,z15
Regent	E	f,g,s	1,6
Regent	E	f,g,s	-
Reinickendorf	B	l,z28	e,n,x
Remete	F	z4,z23	1,6
Remiremont	C2-C3	z10	l,w
Remo	B	r	1,7
Reubeuss	C2-C3	g,m,t	-
Rhone	L	c	e,n,x
Rhydyfelin	I	e,h	e,n,x
Richmond	C1	y	1,2
Rideau	E	f,g	-
Ridge	A/D	c	z6
Ried	G	z4,z23	e,n,z15
Ried	G	z4,z23	-
Riggil	C1	g,t	-
Riogrande	R	b	1,5
Rissen	C1	f,g	-
Rittersbach	P	b	e,n,z15
Riverside	W	b	1,5
Roan	P	l,v	e,n,x
Rochdale	Z	b	e,n,x
Rogy	M	z10	1,2
Romanby	G	z4,z24	-
Roodepoort	G	z10	1,5
Rosenberg	A/D	g,z85	-
Rossleben	-	e,h	1,6
Rostock	A/D	g,p,u	-
Rothenburgsort	P	m,t	-
Rottnest	G	b	1,7
Rovaniemi	I	r,i	1,5
Royan	H	z	e,n,z15
Ruanda	A/D	z10	e,n,z15
Rubislaw	F	r	e,n,x
Ruiru	L	y	e,n,x
Rumford	C1	z38	1,2
Runby	H	c	e,n,x
Ruzizi	E	l,v	e,n,z15
Saarbruecken	A/D	a	1,7
Saboya	I	e,h	1,5
Sada	N	z10	1,2
Saintemarie	-	g,t	-
Saintpaul	B	e,h	1,2
Salford	I	l,v	e,n,x
Salinas	R	a	1,7
Sally	S	z	1,6
Saloniki	I	z29	-
Samaru	S	i	1,5
Sambre	E	z4,z24	-
Sandaga	E	z38	1,2
Sandiego	B	e,h	e,n,z15
Sandow	C2-C3	f,g	e,n,z15
Sanga	C2-C3	b	1,7
Sangalkam	A/D	m,t	-
Sangera	I	b	e,n,z15
Sanjuan	C1	a	1,5
Sanktgeorg	M	r,i	e,n,z15
Sanktjohann	G	b	l,w
Sanktmarx	E	e,h	1,7
Santander	M	z35	e,n,z15
Santhiaba	R	l,z28	1,6
Santiago	C2-C3	c	e,n,x
Sao	E	e,h	e,n,z15
Sapele	G	z10	e,n,z15
Saphra	I	y	1,5
Sara	H	z38	e,n,x
Sara	H	z38	-
Sarajane	B	d	e,n,x
Saugus	R	b	1,7
Scarborough	N	k	l,z13,z28
Schalkwijk	H	i	e,n,z15
Schleissheim	B	b	-
Schoeneberg	E	z	e,n,z15
Schwabach	C1	c	1,7
Schwarzengrund	B	d	1,7
Schwerin	C2-C3	k	e,n,x
Sculcoates	I	d	1,5
Seattle	M	a	e,n,x
Sedgwick	V	b	e,n,z15
Seegefeld	E	r,i	1,2
Sekondi	E	e,h	z6
Selby	M	y	z6
Sendai	A/D	a	1,5
Senegal	F	r	1,5
Senftenberg	E	g,s,t	-
Senneville	N	z10	1,5
Seremban	A/D	i	1,5
Serrekunda	E	k	1,7
Shahalam	V	b	1,6
Shamba	I	c	e,n,x
Shangani	E	d	1,5
Shanghai	I	l,v	1,6
Shannon	E	z35	l,w
Sharon	F	k	1,6
Sheffield	P	c	1,5
Sherbrooke	I	d	1,6
Shikmonah	R	a	1,5
Shipley	C2-C3	b	e,n,z15
Shomolu	M	y	l,w
Shoreditch	A/D	r	e,n,z15
Shubra	B	z	1,2
Sica	S	b	e,n,z15
Simi	E	r	e,n,z15
Sinchew	E	l,v	z35
Sindelfingen	C2-C3	y	l,w
Singapore	C1	k	e,n,x
Sinstorf	E	l,v	1,5
Sinthia	K	z38	-
Sipane	T	r	e,n,z15
Skansen	C2-C3	b	1,2
Slade	E	y	e,n,z15
Sljeme	X	f,g	-
Sloterdijk	B	z35	z6
Soahanina	H	z	e,n,x
Soerenga	N	i	l,w
Sokode	A/D	r	z6
Solna	M	a	1,5
Solt	F	y	1,5
Somone	C1	z4,z24	-
Sontheim	A/D	d	z35
Sophie	B	b	e,n,x
Sophie	B	b	-
Soumbedioune	M	b	e,n,x
Southampton	B	r	z6
Southbank	E	m,t	1,6
Southbank	E	m,t	-
Souza	E	d	e,n,x
Spalentor	T	y	e,n,z15
Spartel	L	d	1,5
Splott	V	g,s,t	1,7
Splott	V	g,s,t	-
Stachus	P	z	-
Stanley	B	d	1,2
Stanleyville	B	z4,z23	1,2
Stanleyville	B	z4,z23	-
Staoueli	X	k	1,2
Steinplatz	N	y	1,6
Steinwerder	-	y	1,5
Stellingen	X	d	e,n,x
Stendal	F	l,v	1,2
Sternschanze	N	g,s,t	-
Sterrenbos	C2-C3	d	e,n,x
Stockholm	E	y	z6
Stoneferry	N	z4,z23	-
Stormont	E	d	1,2
Stourbridge	C2-C3	b	1,6
Straengnaes	F	z10	1,5
Strasbourg	A/D	d	1,7
Stratford	E	i	1,2
Strathcona	C1	l,z13,z28	1,7
Stuivenberg	E	l,z13,z28	1,5
Stuttgart	C1	i	z6
Suberu	E	g,m	-
Sudan	U	l,z13	-
Suelldorf	W	f,g	-
Sundsvall	H	z	e,n,x
Sunnycove	C2-C3	y	e,n,x
Surat	H	r,i	e,n,z15
Surrey	L	k	1,2,5
Svedvi	E	l,v	e,n,z15
Sya	X	b	z6
Sylvania	H	g,p	-
Szentes	I	k	1,2
Tabligbo	X	z4,z23	e,n,z15
Tado	C2-C3	c	z6
Tafo	B	z35	1,7
Taiping	G	l,z13	e,n,z15
Takoradi	C2-C3	i	1,5
Taksony	E	i	z6
Tallahassee	C2-C3	z4,z32	-
Tamale	C2-C3	z29	e,n,z15
Tamale	C2-C3	z29	-
Tambacounda	E	b	e,n,x
Tamberma	X	z4,z24	-
Tamilnadu	C1	z41	z35
Tampico	C1	z36	e,n,z15
Tananarive	C2-C3	y	1,5
Tanger	G	y	1,6
Tanzania	G	z	e,n,z15
Tarshyne	A/D	d	1,6
Taset	T	z41	-
Taunton	M	k	e,n,x
Taylor	P	l,v	e,n,z15
Tchad	O	b	-
Tchamba	J	z	e,n,z15
Techimani	M	c	z6
Teddington	B	y	1,7
Tees	I	f,g	-
Tejas	B	z36	-
Teko	H	d	e,n,z15
Telaviv	M	y	e,n,z15
Telelkebir	G	d	e,n,z15
Telhashomer	F	z10	e,n,x
Teltow	M	z4,z23	1,6
Tema	T	z35	z6
Tempe	N	b	1,7
Tendeba	J	y	e,n,x
Tennenlohe	K	r	1,5
Tennessee	C1	z29	1,2,7
Tennessee	C1	z29	-
Tennyson	R	g,z51	-
Teshie	X	l,z13,z28	e,n,z15
Texas	B	k	e,n,z15
Thayngen	B	z41	1,2,5
Thetford	U	k	1,2
Thiaroye	P	e,h	1,2
Thies	E	y	1,7
Thompson	C1	k	1,5
Tibati	E	i	1,6
Tienba	C1	z35	1,6
Tiergarten	V	a	e,n,x
Tiko	R	l,z13,z28	1,2
Tilburg	E	d	l,w
Tilene	R	e,h	1,2
Tinda	B	a	e,n,z15
Tione	-	a	e,n,x
Togba	I	a	e,n,x
Togo	B	l,w	1,6
Tokoin	B	z10	e,n,z15
Tomegbe	T	b	e,n,z15
Tomelilla	E	l,z28	1,7
Tonev	-	b	e,n,x
Toowong	F	a	1,7
Torhout	N	e,h	1,5
Toricada	T	z4,z24	-
Tornow	W	g,m,s,t	-
Toronto	A/D	l,v	e,n,x
Toucra	Y	z	1,5
Toulon	K	l,w	e,n,z15
Tounouma	C2-C3	b	z6
Tours	F	l,z13	1,2
Trachau	B	y	1,5
Transvaal	W	z4,z24	-
Travis	R	g,z51	-
Treforest	-	z	1,6
Treguier	A/D	z10	z6
Trier	I	z35	1,6
Trimdon	A/D	z35	z6
Tripoli	B	b	z6
Trotha	R	z10	z6
Troy	K	y	1,7
Truro	E	i	1,7
Tschangu	G	e,h	1,5
Tsevie	B	i	e,n,z15
Tshiongwe	C2-C3	e,h	e,n,z15
Tucson	H	b	1,7
Tudu	B	z10	1,6
Tumodi	B	i	z6
Tunis	G	y	z6
Typhi	A/D	d	-
Typhimurium	B	i	1,2
Typhisuis	C1	c	1,5
Tyresoe	B	l,z13,z28	1,5
Uccle	-	g,s,t	-
Uganda	E	l,z13	1,5
Ughelli	E	r	1,5
Uhlenhorst	V	z	l,w
Uithof	-	a	1,5
Ullevi	G	b	e,n,x
Umbadah	E	d	1,2
Umbilo	M	z10	e,n,x
Umhlali	C1	a	1,6
Umhlatazana	O	a	e,n,z15
Uno	C2-C3	z29	e,n,z15
Uno	C2-C3	z29	-
Uppsala	B	b	1,7
Urbana	N	b	e,n,x
Ursenbach	T	z	1,6
Usumbura	K	d	1,7
Utah	C2-C3	c	1,5
Utrecht	-	d	1,5
Uzaramo	H	z4,z24	-
V	Y	b	-
V	H	e,n,z15	-
V	G	i	-
V	Y	i	-
V	G	r	-
V	V	r	-
V	61	z35	-
V	-	z35	-
V	R	z35	-
V	Y	z35	-
V	-	z39	-
V	G	z39	-
V	V	z39	-
V	Y	z39	-
V	-	z41	-
V	-	z41	-
V	Y	z41	-
V	-	z65	-
V	Y	z65	-
V	-	z81	-
V	R	z81	-
V	Y	z81	-
Vaertan	G	b	-
Valdosta	C2-C3	a	1,2
Vancouver	I	c	1,5
Vanier	M	z	1,5
Vaugirard	S	b	1,6
Vegesack	I	b	l,w
Vejle	E	e,h	1,2
Vellore	B	z10	z35
Veneziana	F	i	e,n,x
Verona	S	i	1,6
Verviers	W	k	1,5
VI	-	z36	-
VI	H	z10	1,2,7
VI	F	a	1,5
VI	H	a	1,5
VI	Y	z10	1,5
VI	F	b	1,7
VI	S	b	1,7
VI	C1	z41	1,7
VI	H	a	e,n,x
VI	W	a	e,n,x
VI	F	b	e,n,x
VI	Z	l,v	z67
VI	H	l,v	z88
Victoria	A/D	l,w	1,5
Victoriaborg	J	c	1,6
Vietnam	S	b	z6
Vilvoorde	E	e,h	1,5
Vinohrady	M	m,t	e,n,z15
Vinohrady	M	m,t	-
Virchow	C1	r	1,2
Virginia	C2-C3	d	1,2
Visby	E	b	1,6
Vitkin	M	l,v	e,n,x
Vleuten	V	f,g	-
Vogan	T	z38	z6
Volkmarsdorf	M	i	1,6
Volta	F	r	l,z13,z28
Vom	B	l,z13,z28	e,n,z15
Voulte	U	i	e,n,x
Vridi	G	e,h	-
Vuadens	B	z4,z23	z6
Wa	I	b	1,5
Waedenswil	A/D	e,h	1,5
Wagadugu	E	z4,z23	z6
Wagenia	B	b	e,n,z15
Wanatah	E	d	1,7
Wandsworth	Q	b	1,2
Wangata	A/D	z4,z23	1,7
Wangata	A/D	z4,z23	-
Waral	T	m,t	-
Warengo	J	z	1,5
Warmsen	W	d	e,n,z15
Warnemuende	M	i	e,n,x
Warnow	C2-C3	i	1,6
Warragul	H	g,m	-
Warri	J	k	1,7
Washington	G	m,t	-
Waycross	S	z4,z23	e,n,z15
Waycross	S	z4,z23	-
Wayne	N	g,z51	-
Wedding	M	c	e,n,z15
Welikade	I	l,v	1,7
Weltevreden	E	r	z6
Wenatchee	X	b	1,2
Wentworth	F	z10	1,2
Wernigerode	A/D	f,g	-
Weslaco	T	z36	-
Westafrica	A/D	e,h	1,7
Westeinde	I	l,w	1,6
Westerstede	E	l,z13	1,2
Westhampton	E	g,s,t	-
Westminster	E	b	z35
Weston	I	e,h	z6
Westphalia	O	z4,z24	-
Weybridge	E	d	z6
Wichita	G	d	-
Widemarsh	O	z29	-
Wien	B	b	l,w
Wil	C1	d	l,z13,z28
Wilhelmsburg	B	z38	e,n,z15
Wilhelmsburg	B	z38	-
Willamette	P	d	1,5
Willemstad	G	e,h	-
Wilmington	E	b	z6
Wimborne	E	k	1,2
Windermere	Q	y	1,5
Windsheim	-	a	1,2
Wingrove	C2-C3	c	1,2
Winneba	B	r	1,6
Winnipeg	-	e,h	1,5
Winslow	G	z	1,5
Winston	C1	m,t	1,6
Winterthur	E	l,z13	1,6
Wippra	C2-C3	z10	z6
Wisbech	I	i	1,7
Wohlen	F	b	1,6
Woodhull	H	d	1,6
Woodinville	F	c	e,n,x
Worb	A/D	b	e,n,x
Worthington	G	z	l,w
Woumbou	F	y	e,n,x,z15
Wuiti	N	z35	e,n,z15
Wuppertal	A/D	z41	-
Wyldegreen	G	a	l,w
Yaba	E	b	e,n,z15
Yalding	E	r	e,n,z15
Yaounde	B	z35	e,n,z15
Yardley	M	g,m	1,6
Yarm	C2-C3	z35	1,2
Yarrabah	G	y	1,7
Yeerongpilly	E	i	z6
Yehuda	F	z4,z24	-
Yekepa	R	z35	e,n,z15
Yellowknife	A/D	r	e,n,x
Yenne	E	z10	1,5
Yerba	-	z4,z23	-
Yoff	P	z4,z23	1,2
Yokoe	C2-C3	m,t	-
Yolo	O	c	e,n,z15
Yolo	O	c	-
Yombesali	X	z35	z6
Yopougon	W	z	e,n,z15
York	A/D	l,z28	e,n,z15
Yoruba	I	c	l,w
Yovokome	C2-C3	d	1,5
Yundum	E	k	e,n,x
Zadar	A/D	b	1,6
Zaiman	A/D	l,v	e,n,x
Zaire	N	c	1,7
Zanzibar	E	k	1,5
Zaria	J	k	e,n,z15
Zega	A/D	d	z6
Zehlendorf	N	a	1,5
Zerifin	C2-C3	z10	1,2
Zigong	I	l,w	1,5
Zinder	V	z29	-
Zongo	E	z35	1,7
Zuilen	E	i	l,w
Zwickau	I	r,i	e,n,z15
